MS SubClass,MS Zoning,Street,Lot Shape,Land Contour,Utilities,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Foundation,Heating,Central Air,Electrical,Functional,Garage Type,Garage Finish,Paved Drive,Sale Type,Sale Condition,Lot Frontage,Lot Area,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
60,RL,Pave,IR2,HLS,AllPub,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,Hip,CompShg,CemntBd,Wd Shng,BrkFace,PConc,GasA,Y,SBrkr,Mod,BuiltIn,Fin,Y,WD ,Normal,-1.0530832448602534,5.50296712816338,3.8121709748995527,1.3503964704033409,-0.5067184252539721,1.0464113066364784,0.898196930861858,2.809228183388927,2.7599350611154807,-0.22959174111133185,-0.021933859434834096,1.2761738047120894,0.5331326024901172,2.1372308847252937,-0.19449210115871898,-0.2940229229794508,-0.7403366184524786,1.3585322709119128,0.8878860859379191,1.353776990297551,2.926635242868885,-0.10100493596546713,3.520439134910816,1.0840643982138038,-0.24939576609842934,2.5928494795997796,1.2346749066112308,1.3844221849863885,-0.2072914450684739,2.24528919051637,3.5334208045151576,0.6185183669735254,1.0018512799807084,1.6219577177686344,1.7126803102037929,0.15309288074344182,0.12724251596182745,3.239260200854231,-0.17093708592883902,-0.3588380041723937,-0.1031343162481333,3.459443103747262,-0.06303104887737992,-0.08942227838639759,-0.07960156016794817,1.6784989953969243,5.730782275666389
50,RL,Pave,IR1,Bnk,AllPub,Inside,Gilbert,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,Wood,GasA,Y,SBrkr,Typ,Basment,RFn,Y,WD ,Normal,3.777986437873806,0.2520828284407871,3.8121709748995527,1.3503964704033409,1.2928997395874087,0.5503828225919412,0.994089259285595,-0.5712423411944665,1.0364462015527445,-0.22959174111133185,-0.021933859434834096,0.7201648117927612,0.9356814928636435,-0.03431786181554392,-0.19449210115871898,-0.2940229229794508,-0.9725008678920946,-1.1183974292186776,-0.156057024735477,-0.20304442396346425,0.7857255825331518,-0.10100493596546713,0.4992051175175159,-0.8223263272937141,-0.24939576609842934,0.7840282950218381,-0.755202693152744,1.3844221849863885,-0.2072914450684739,-0.7710782226945262,0.9900175476107448,-0.9251433155072492,0.3975390310052837,0.3066990922580224,0.08922168689441666,0.15309288074344182,0.12724251596182745,1.8303635351520269,-0.5266408080759096,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.07960156016794817,1.6784989953969243,5.214843848047698
20,RL,Pave,Reg,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Typ,Detchd,Unf,Y,WD ,Normal,3.225864188418485,1.1410650289546145,-0.2158351399420229,-1.4849038938258163,-0.5067184252539721,-0.6731541047179176,-1.595003608155305,-0.5712423411944665,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,-0.6745140686304619,-0.7083982108428818,-0.19449210115871898,-0.2940229229794508,0.4204846287456016,-0.42594687143698184,0.8878860859379191,-0.7543123345870368,-0.7831853135907442,-0.10100493596546713,-1.2577404014381164,-0.8223263272937141,-0.24939576609842934,-1.0247928895561034,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,-0.7710782226945262,-1.5533857092936683,-0.9251433155072492,-1.0930978498007642,0.3066990922580224,-0.33873875248799773,0.15309288074344182,0.12724251596182745,-0.7420601522255925,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.07960156016794817,1.6784989953969243,5.14921911265538
20,RL,Pave,Reg,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,Stone,CBlock,GasA,Y,SBrkr,Min1,Attchd,Unf,Y,WD ,Normal,0.6953038784149299,0.3842116792024796,-0.2158351399420229,-0.06725371171123777,0.39309065716671826,0.21969716656224958,0.1790044676838302,0.09588202435350006,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.5331326024901172,0.7627217691190608,0.9517581467455727,0.6698425923038238,0.06768601440108706,1.1133366635662632,-1.2000001354088732,2.3312566651532376,-0.7831853135907442,-0.10100493596546713,1.1343171801129641,1.0840643982138038,-0.24939576609842934,0.7840282950218381,-0.755202693152744,0.17609421298456596,-0.2072914450684739,-0.7710782226945262,0.35416673338464155,2.1621800494542995,-0.005335801644999524,0.3066990922580224,0.1264356381450614,0.15309288074344182,0.12724251596182745,2.020327130527605,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-1.5534250754418066,1.6784989953969243,5.3222192947339195
20,RL,Pave,IR1,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,SBrkr,Typ,Attchd,RFn,Y,COD,Normal,1.6155076275071316,0.2034705807542086,-0.2158351399420229,-0.06725371171123777,0.39309065716671826,0.18662860095928044,-0.3484033386467235,2.11967946941918,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.1305837121165908,0.5760871447955307,-0.19449210115871898,-0.2940229229794508,1.3195520653009774,1.798976232255024,0.8878860859379191,1.7468105932421352,-0.7831853135907442,-0.10100493596546713,0.6812310046165229,-0.8223263272937141,-0.24939576609842934,0.7840282950218381,-0.755202693152744,0.17609421298456596,-0.2072914450684739,-0.7710782226945262,0.35416673338464155,0.6185183669735254,-0.045623284910027845,0.3066990922580224,0.3404158578362686,0.15309288074344182,0.12724251596182745,-0.7420601522255925,1.1036679184314975,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-1.9218809542602713,1.6784989953969243,5.278753600952829
85,RL,Pave,Reg,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,SBrkr,Typ,Attchd,RFn,Y,WD ,Family,0.6953038784149299,0.06055311105424151,-0.2158351399420229,0.6415713793460515,0.39309065716671826,0.08742290415037297,-0.49224183128232907,-0.11714928565341363,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,1.2761738047120894,0.9356814928636435,0.9713134080688884,0.37863302279342687,0.699409019153004,-1.2729487201080683,0.0031454414179050076,-1.2000001354088732,0.034307037555018405,-0.7831853135907442,-0.10100493596546713,-0.6463708458555822,1.0840643982138038,-0.24939576609842934,0.7840282950218381,-0.755202693152744,0.17609421298456596,-0.2072914450684739,0.7371054839109219,-0.2816840808414617,2.1621800494542995,-0.16648573470511283,0.3066990922580224,0.25668446752231794,0.15309288074344182,0.12724251596182745,-0.7420601522255925,1.0740259415859081,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-1.9218809542602713,1.6784989953969243,5.230448921378274
60,FV,Pave,Reg,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Typ,Attchd,RFn,Y,WD ,Normal,-0.24563285638212712,-0.3360872910882072,-0.2158351399420229,0.6415713793460515,-0.5067184252539721,0.947205609827571,0.7543584382262524,-0.5712423411944665,1.0364462015527445,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.9356814928636435,0.19842649322321115,-0.19449210115871898,-0.2940229229794508,-0.6333589741028516,-0.539463356319227,0.8878860859379191,-0.8819206472313824,1.22464708323448,-0.10100493596546713,0.3448788219335752,1.0840643982138038,-0.24939576609842934,0.7840282950218381,1.2346749066112308,0.17609421298456596,-0.2072914450684739,0.7371054839109219,0.35416673338464155,-0.9251433155072492,0.8809888301856236,0.3066990922580224,0.8846698948769477,0.15309288074344182,0.12724251596182745,-0.7420601522255925,0.7183222194388376,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-1.9218809542602713,1.6784989953969243,5.334453751150931
20,RL,Pave,IR1,Lvl,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Typ,Attchd,Fin,Y,WD ,Normal,0.24489481669260035,0.138738867124561,-0.2158351399420229,-0.06725371171123777,1.2928997395874087,-0.044851358261503646,-0.6840264881298032,0.437853337785651,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.5331326024901172,0.29723305904155056,-0.19449210115871898,-0.2940229229794508,-0.30332156068378957,-0.10810071376669529,0.8878860859379191,-0.39700905918286944,-0.7831853135907442,-0.10100493596546713,-0.9807444862874537,1.0840643982138038,-0.24939576609842934,-1.0247928895561034,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,-0.7710782226945262,-0.9175348950675649,0.6185183669735254,-0.3276356677652261,0.3066990922580224,0.03340076001844957,0.15309288074344182,0.12724251596182745,-0.7420601522255925,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,1.1467859769536275,-1.184969196623342,1.6784989953969243,5.173186268412274
20,RL,Pave,IR1,Lvl,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Typ,Attchd,Fin,Y,WD ,Normal,0.24489481669260035,0.3032335747010773,-0.2158351399420229,-0.776078802768527,0.39309065716671826,-0.011782792658534495,1.1379277519212005,-0.5712423411944665,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.9356814928636435,0.639762487211794,-0.19449210115871898,-0.2940229229794508,-0.48996340827250046,0.059903683859027605,0.8878860859379191,-0.20814875646923806,-0.7831853135907442,-0.10100493596546713,-0.8343323597078176,1.0840643982138038,-0.24939576609842934,-1.0247928895561034,1.2346749066112308,0.17609421298456596,-0.2072914450684739,-0.7710782226945262,-0.2816840808414617,0.6185183669735254,-0.2873481845001978,0.3066990922580224,0.1264356381450614,0.15309288074344182,0.12724251596182745,-0.7420601522255925,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.8165133178048775,1.6784989953969243,5.175801632848279
20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,SBrkr,Typ,Attchd,Unf,Y,WD ,Normal,-0.2248998706772718,-0.21550860883690276,-0.2158351399420229,-0.776078802768527,0.39309065716671826,-0.11098848946744196,-0.7799188165535402,-0.5712423411944665,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.1305837121165908,0.7297862471796143,-0.19449210115871898,-0.2940229229794508,-0.6333589741028516,0.00995643051083972,0.8878860859379191,-0.2642964140327501,-0.7831853135907442,-0.10100493596546713,-0.8778602892314933,1.0840643982138038,-0.24939576609842934,-1.0247928895561034,-0.755202693152744,0.17609421298456596,-0.2072914450684739,-0.7710782226945262,-0.2816840808414617,0.6185183669735254,-0.40821063429528276,-1.0085595332525896,-0.7853061674957345,0.15309288074344182,0.12724251596182745,-0.7420601522255925,0.5552913467880969,2.510418415046592,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,0.2888543186505165,1.6784989953969243,5.152288344383057
20,RL,Pave,Reg,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,Typ,Attchd,Fin,Y,WD ,Normal,0.005151066595778648,-0.22185485527118193,-0.2158351399420229,-1.4849038938258163,-0.5067184252539721,-0.044851358261503646,-0.6840264881298032,-0.5712423411944665,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.5331326024901172,0.7934615895958774,0.9517581467455727,0.16721333586776033,-1.2729487201080683,-0.38508093687937356,-1.2000001354088732,-0.7083733420350725,-0.7831853135907442,-0.10100493596546713,-1.2221266409187455,1.0840643982138038,-0.24939576609842934,-1.0247928895561034,-0.755202693152744,-1.0322337590172566,-0.2072914450684739,-0.7710782226945262,-1.5533857092936683,-0.9251433155072492,-0.3276356677652261,0.3066990922580224,0.24272923580332617,0.15309288074344182,0.12724251596182745,1.157575801530188,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.8165133178048775,1.6784989953969243,5.1003705451175625
20,RL,Pave,Reg,Lvl,AllPub,FR2,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Typ,None,None,Y,ConLI,Normal,0.005151066595778648,0.044687494968543566,-0.2158351399420229,-1.4849038938258163,-0.5067184252539721,-0.011782792658534495,-0.6360803239179347,-0.5712423411944665,-0.6870426580099918,-0.22959174111133185,-0.021933859434834096,-0.39185317404589554,0.5331326024901172,-0.023339354502395097,-0.19449210115871898,-0.2940229229794508,-0.289664840128518,-0.42594687143698184,-1.2000001354088732,-0.7543123345870368,-0.7831853135907442,-0.10100493596546713,-1.2577404014381164,-0.8223263272937141,-0.24939576609842934,-1.0247928895561034,-0.755202693152744,0.17609421298456596,-0.2072914450684739,-0.7710782226945262,-0.9175348950675649,0.6185183669735254,-9.160313144327193e-15,-2.323818158763202,-2.1994363150202343,3.622917116223435e-15,0.0,-0.7420601522255925,-0.704492669149445,-0.3588380041723937,-0.1031343162481333,-0.285354423645959,-0.06303104887737992,-0.08942227838639759,-0.8165133178048775,1.6784989953969243,5.060697840353612
