,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Street_Pave,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Gr Liv Area,Garage Cars,Overall Qual,Year Built,Mas Vnr Area,SalePrice
41,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.3923638359594031,1.6219577177686344,2.05922156146063,1.1125484378424169,2.8765012286542686,5.439332693830263
42,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.6377030750928473,1.6219577177686344,1.3503964704033409,1.1125484378424169,0.7742185641123568,5.413299764081252
43,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.06986144903398864,0.3066990922580224,0.6415713793460515,1.0794798722394476,0.37058029252030983,5.330413773349191
44,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1.7100729751761274,1.6219577177686344,2.05922156146063,1.2448227002542933,3.6893838589438075,5.786507950304687
46,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2.3669490025334134,1.6219577177686344,2.05922156146063,1.0464113066364784,5.567423039267915,5.698970004336019
48,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.4992051175175159,0.3066990922580224,2.05922156146063,1.1125484378424169,1.7384655462489136,5.505014240084107
49,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-0.2565980223935782,0.3066990922580224,1.3503964704033409,1.1456170034453859,0.4266411635747608,5.311753861055754
51,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.34761096594308166,0.3066990922580224,-0.06725371171123777,1.1125484378424169,-0.5712423411944665,5.299942900022767
52,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.7017700288857147,0.3066990922580224,0.6415713793460515,1.1456170034453859,-0.49275712171823516,5.204119982655925
53,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.4564307897522706,0.3066990922580224,1.3503964704033409,1.0794798722394476,-0.48154494750734494,5.283301228703549
55,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.9107419057413577,0.3066990922580224,-0.06725371171123777,1.0133427410335094,0.0,5.335457900689384
57,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.13788548732900843,0.3066990922580224,0.6415713793460515,0.947205609827571,-0.5712423411944665,5.2552725051033065
59,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2.1750304041790254,1.6219577177686344,2.05922156146063,0.9141370442246018,0.35376203120397454,5.522663281777946
60,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.9296911650455815,1.6219577177686344,1.3503964704033409,0.8810684786216327,0.06785158882627457,5.550228353055094
61,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.43589176548307873,0.3066990922580224,0.6415713793460515,0.8149313474156944,1.3236151004459764,5.415640979896154
62,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2.220536875953777,0.3066990922580224,1.3503964704033409,0.7487942162097561,1.4581611909766587,5.511883360978874
63,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.524090003574968,1.6219577177686344,1.3503964704033409,0.9141370442246018,1.3796759715004272,5.4623979978989565
64,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.671338293361142,0.3066990922580224,0.6415713793460515,0.8810684786216327,-0.40305972803111356,5.344392273685111
66,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.18857398409855838,1.6219577177686344,1.3503964704033409,1.1125484378424169,0.6957333446361255,5.345373730559088
67,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.5573364445571549,0.3066990922580224,0.6415713793460515,1.2448227002542933,-0.5712423411944665,5.310693312343361
68,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.09360395604690258,0.3066990922580224,0.6415713793460515,1.2448227002542933,-0.5712423411944665,5.332842266994351
69,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.13119625881734967,0.3066990922580224,1.3503964704033409,1.2117541346513243,-0.369423205398443,5.419129307741976
70,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.8850208564773676,0.3066990922580224,0.6415713793460515,1.0794798722394476,-0.5712423411944665,5.406369835469268
71,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.06270088178811425,0.3066990922580224,-0.06725371171123777,1.1125484378424169,-0.5712423411944665,5.433769833924866
73,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.3152006881674328,0.3066990922580224,0.6415713793460515,1.0794798722394476,0.11270028566983535,5.2576785748691846
74,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1.207523243402782,0.3066990922580224,0.6415713793460515,0.7487942162097561,-0.5712423411944665,5.311753861055754
76,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.683209546867599,0.3066990922580224,-0.06725371171123777,0.6826570850038177,-0.5712423411944665,5.276461804173244
77,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.1508991198800036,-1.0085595332525896,-0.06725371171123777,0.25276573216521875,-0.5712423411944665,4.997823080745725
78,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.4793371335586467,-1.0085595332525896,-0.06725371171123777,0.41810856018006454,-0.5712423411944665,5.096910013008056
79,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.4833767795089066,0.3066990922580224,0.6415713793460515,0.715725650606787,-0.5712423411944665,5.288919605661727
80,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.7967400569373706,0.3066990922580224,-0.06725371171123777,0.41810856018006454,-0.5712423411944665,5.181843587944773
83,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.7959864551789403,0.3066990922580224,-0.06725371171123777,0.21969716656224958,-0.5712423411944665,5.049218022670182
84,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.6819846063749532,0.3066990922580224,-0.776078802768527,-0.34246844868822607,-0.5712423411944665,5.1702617153949575
85,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.1983841339058316,-1.0085595332525896,-0.776078802768527,-0.21019418627634942,-0.5712423411944665,5.141449773400467
86,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-1.1865128803993745,-1.0085595332525896,-0.776078802768527,-0.1440570550704111,-0.3974536409256685,5.086359830674748
88,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.9095169652487118,-1.0085595332525896,-0.776078802768527,-0.3093998830852569,-0.5712423411944665,5.103803720955957
89,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.011258783260134034,0.3066990922580224,-0.06725371171123777,0.08742290415037297,0.8302794351668078,5.227886704613674
90,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.8375358424515397,0.3066990922580224,0.6415713793460515,0.6826570850038177,-0.5712423411944665,5.278753600952829
91,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.680394841409985,1.6219577177686344,1.3503964704033409,0.715725650606787,2.2542255599498624,5.559308010907013
92,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.4350556022765408,1.6219577177686344,1.3503964704033409,0.6826570850038177,0.437853337785651,5.45484486000851
93,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.02313003676659101,0.3066990922580224,0.6415713793460515,1.0794798722394476,-0.5712423411944665,5.414973347970818
95,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.5929502050765258,0.3066990922580224,0.6415713793460515,1.0794798722394476,0.10148811145894515,5.190331698170292
96,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.5929502050765258,0.3066990922580224,0.6415713793460515,1.0794798722394476,-0.5712423411944665,5.17897694729317
97,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.5929502050765258,0.3066990922580224,0.6415713793460515,1.0794798722394476,-0.5712423411944665,5.174641192660449
99,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-0.04291545927735264,0.3066990922580224,0.6415713793460515,1.2448227002542933,1.8505872883578154,5.346352974450639
100,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.14504605457488282,0.3066990922580224,-0.06725371171123777,0.947205609827571,0.6396724735816745,5.249198357391113
101,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.024354977259236892,0.3066990922580224,-0.06725371171123777,0.947205609827571,5.926212614016402,5.247973266361806
103,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.8303752752056653,0.3066990922580224,0.6415713793460515,1.0464113066364784,-0.5712423411944665,5.167642195482166
104,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.16162799434192238,1.6219577177686344,1.3503964704033409,1.2778912658572625,-0.5712423411944665,5.42799865054071
105,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.6891451736208275,0.3066990922580224,1.3503964704033409,0.947205609827571,-0.5712423411944665,5.4048337166199385
106,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.4081096125199049,0.3066990922580224,1.3503964704033409,0.2858342977681879,-0.5712423411944665,5.190331698170292
109,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.015215867762286358,0.3066990922580224,0.6415713793460515,1.0133427410335094,-0.5712423411944665,5.361727836017593
112,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.21825211786470083,0.3066990922580224,-0.06725371171123777,0.18662860095928044,-0.4142719022420038,5.311753861055754
113,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.7742224904171024,0.3066990922580224,-0.06725371171123777,0.21969716656224958,-0.5712423411944665,5.32735893438633
114,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.4240205119766217,0.3066990922580224,0.6415713793460515,0.5503828225919412,-0.33578668276577245,5.293362554711446
115,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.2348340576317404,0.3066990922580224,-0.06725371171123777,0.02128577294443466,-0.5712423411944665,5.295567099962479
116,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.2875010966523665,0.3066990922580224,-0.06725371171123777,-0.011782792658534495,-0.5712423411944665,5.232996110392154
117,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.5296368530420886,0.3066990922580224,-0.776078802768527,-0.17712562067338028,0.3930046409420902,5.153052275067108
118,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.339696796938777,0.3066990922580224,-0.06725371171123777,-0.27633131748228773,1.9571029433612723,5.155336037465061
121,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.020397892757084566,0.3066990922580224,-0.776078802768527,-0.1440570550704111,0.9311890030648196,5.252610340567373
122,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.5447115892922676,0.3066990922580224,-0.06725371171123777,-0.2432627518793186,-0.5712423411944665,5.134495855834674
123,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.6879202331281816,0.3066990922580224,-0.776078802768527,-0.2432627518793186,-0.08911885012618814,5.2564772062416765
124,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.8818173737336455,0.3066990922580224,-0.06725371171123777,-0.27633131748228773,0.30330724725496866,5.138302698166282
125,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.451720103491688,-2.323818158763202,-0.776078802768527,-0.3093998830852569,0.2360342019896275,4.928907690243952
127,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.901991573530515,0.3066990922580224,-0.776078802768527,-0.6400855391149485,0.9143707417484842,5.29578694025161
128,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.11141083630658805,0.3066990922580224,-0.06725371171123777,-0.7392912359238559,1.3348272746568666,5.236789099409293
129,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.2696116549445735,-2.323818158763202,-0.776078802768527,-0.4416741454971335,-0.5712423411944665,5.066325925362038
130,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.3832247264624526,-2.323818158763202,-2.1937289848831054,-1.0369083263505783,-0.5712423411944665,4.883661435153617
131,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-0.8640104934739601,-1.0085595332525896,-0.776078802768527,-0.5739484079090101,0.04542724040449418,5.107209969647869
132,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.040183315267846194,-1.0085595332525896,-0.06725371171123777,-0.540879842306041,0.3481559440985294,5.184691430817598
133,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.45840933200334677,-1.0085595332525896,-0.776078802768527,-0.5739484079090101,0.549975079894553,5.12057393120585
134,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.7354052471540096,-1.0085595332525896,-0.06725371171123777,-0.17712562067338028,0.6396724735816745,5.250420002308894
135,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.5320041725792728,0.3066990922580224,-0.776078802768527,-0.3755370142911952,1.4525551038712137,5.188365926063148
136,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1.39944184175717,0.3066990922580224,0.6415713793460515,-0.044851358261503646,1.0377046580682763,5.2552725051033065
138,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.20638086435824385,0.3066990922580224,-0.776078802768527,-0.4416741454971335,-0.5712423411944665,5.1303337684950066
139,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.03895837477520031,0.3066990922580224,0.6415713793460515,1.0464113066364784,2.2654377341607526,5.330413773349191
140,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.7057271133878671,-1.0085595332525896,-0.776078802768527,-0.40860557989416435,0.2696707246222981,5.133538908370218
141,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.3963209204615554,0.3066990922580224,-0.776078802768527,-0.40860557989416435,-0.5712423411944665,5.218797998111738
142,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.3673963884538433,-1.0085595332525896,-0.776078802768527,-0.4747427111001027,-0.5712423411944665,5.161368002234975
143,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.6048214585829828,-1.0085595332525896,-0.06725371171123777,-0.40860557989416435,0.6620968220034549,5.1702617153949575
144,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.6166927120894398,0.3066990922580224,-0.776078802768527,-0.40860557989416435,0.437853337785651,5.152288344383057
145,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.4663235010076514,0.3066990922580224,-0.776078802768527,-0.3755370142911952,1.2451298809697449,5.224014811372864
146,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.5810789515700688,-1.0085595332525896,-0.776078802768527,-0.40860557989416435,-0.061088414598962665,5.035581814691713
147,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.15889585033241593,0.3066990922580224,-0.06725371171123777,-0.40860557989416435,1.8505872883578154,5.2027606873932
148,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.32188991667909156,-1.0085595332525896,-1.4849038938258163,-0.5078112767030718,-0.5712423411944665,5.033423755486949
149,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.8620319512228839,-1.0085595332525896,-0.776078802768527,-0.6400855391149485,-0.5712423411944665,5.1303337684950066
150,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.0440578383218908,-1.0085595332525896,-0.776078802768527,-0.540879842306041,-0.5712423411944665,5.088136088700551
152,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-0.8758817469804171,-1.0085595332525896,-0.776078802768527,-0.6070169735119793,-0.5712423411944665,5.037426497940624
153,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.0183367890579007,0.3066990922580224,-1.4849038938258163,-1.6982796384099614,-0.5712423411944665,5.021189299069938
154,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.3309464647279345,-1.0085595332525896,-0.776078802768527,-0.540879842306041,-0.5712423411944665,5.031408464251625
155,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.8185040216992083,0.3066990922580224,-0.776078802768527,-0.5739484079090101,0.0117907177718236,5.161068385471174
156,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1.1152853593606327,-1.0085595332525896,-0.776078802768527,-0.5078112767030718,-0.5712423411944665,5.110589710299249
